Session,ID,Gesture,Frame,Is_Gesture,PlayerSide
S21,P045,Agestural,1,0,Right
S21,P045,Agestural,2,0,Right
S21,P045,Agestural,3,0,Right
S21,P045,Agestural,4,0,Right
S21,P045,Agestural,5,0,Right
S21,P045,Agestural,6,0,Right
S21,P045,Agestural,7,0,Right
S21,P045,Agestural,8,0,Right
S21,P045,Agestural,9,0,Right
S21,P045,Agestural,10,0,Right
S21,P045,Agestural,11,0,Right
S21,P045,Agestural,12,0,Right
S21,P045,Agestural,13,0,Right
S21,P045,Agestural,14,0,Right
S21,P045,Agestural,15,0,Right
S21,P045,Agestural,16,0,Right
S21,P045,Agestural,17,0,Right
S21,P045,Agestural,18,0,Right
S21,P045,Agestural,19,0,Right
S21,P045,Agestural,20,0,Right
S21,P045,Agestural,21,0,Right
S21,P045,Agestural,22,0,Right
S21,P045,Agestural,23,0,Right
S21,P045,Agestural,24,0,Right
S21,P045,Agestural,25,0,Right
S21,P045,Agestural,26,0,Right
S21,P045,Agestural,27,0,Right
S21,P045,Agestural,28,0,Right
S21,P045,Agestural,29,0,Right
S21,P045,Agestural,30,0,Right
S21,P045,Agestural,31,0,Right
S21,P045,Agestural,32,0,Right
S21,P045,Agestural,33,0,Right
S21,P045,Agestural,34,0,Right
S21,P045,Agestural,35,0,Right
S21,P045,Agestural,36,0,Right
S21,P045,Agestural,37,0,Right
S21,P045,Agestural,38,0,Right
S21,P045,Agestural,39,0,Right
S21,P045,Agestural,40,0,Right
S21,P045,Agestural,41,0,Right
S21,P045,Agestural,42,0,Right
S21,P045,Agestural,43,0,Right
S21,P045,Agestural,44,0,Right
S21,P045,Agestural,45,0,Right
S21,P045,Agestural,46,0,Right
S21,P045,Agestural,47,0,Right
S21,P045,Agestural,48,0,Right
S21,P045,Agestural,49,0,Right
S21,P045,Agestural,50,0,Right
S21,P045,Agestural,51,0,Right
S21,P045,Agestural,52,0,Right
S21,P045,Agestural,53,0,Right
S21,P045,Agestural,54,0,Right
S21,P045,Agestural,55,0,Right
S21,P045,Agestural,56,0,Right
S21,P045,Agestural,57,0,Right
S21,P045,Agestural,58,0,Right
S21,P045,Agestural,59,0,Right
S21,P045,Agestural,60,0,Right
S21,P045,Agestural,61,0,Right
S21,P045,Agestural,62,0,Right
S21,P045,Agestural,63,0,Right
S21,P045,Agestural,64,0,Right
S21,P045,Agestural,65,0,Right
S21,P045,Agestural,66,0,Right
S21,P045,Agestural,67,0,Right
S21,P045,Agestural,68,0,Right
S21,P045,Agestural,69,0,Right
S21,P045,Agestural,70,0,Right
S21,P045,Agestural,71,0,Right
S21,P045,Agestural,72,0,Right
S21,P045,Agestural,73,0,Right
S21,P045,Agestural,74,0,Right
S21,P045,Agestural,75,0,Right
S21,P045,Agestural,76,0,Right
S21,P045,Agestural,77,0,Right
S21,P045,Agestural,78,0,Right
S21,P045,Agestural,79,0,Right
S21,P045,Agestural,80,0,Right
S21,P045,Agestural,81,0,Right
S21,P045,Agestural,82,0,Right
S21,P045,Agestural,83,0,Right
S21,P045,Agestural,84,0,Right
S21,P045,Agestural,85,0,Right
S21,P045,Agestural,86,0,Right
S21,P045,Agestural,87,0,Right
S21,P045,Agestural,88,0,Right
S21,P045,Agestural,89,0,Right
S21,P045,Agestural,90,0,Right
S21,P045,Agestural,91,0,Right
S21,P045,Agestural,92,0,Right
S21,P045,Agestural,93,0,Right
S21,P045,Agestural,94,0,Right
S21,P045,Agestural,95,0,Right
S21,P045,Agestural,96,0,Right
S21,P045,Agestural,97,0,Right
S21,P045,Agestural,98,0,Right
S21,P045,Agestural,99,0,Right
S21,P045,Agestural,100,0,Right
S21,P045,Agestural,101,0,Right
S21,P045,Agestural,102,0,Right
S21,P045,Agestural,103,0,Right
S21,P045,Agestural,104,0,Right
S21,P045,Agestural,105,0,Right
S21,P045,Agestural,106,0,Right
S21,P045,Agestural,107,0,Right
S21,P045,Agestural,108,0,Right
S21,P045,Agestural,109,0,Right
S21,P045,Agestural,110,0,Right
S21,P045,Agestural,111,0,Right
S21,P045,Agestural,112,0,Right
S21,P045,Agestural,113,0,Right
S21,P045,Agestural,114,0,Right
S21,P045,Agestural,115,0,Right
S21,P045,Agestural,116,0,Right
S21,P045,Agestural,117,0,Right
S21,P045,Agestural,118,0,Right
S21,P045,Agestural,119,0,Right
S21,P045,Agestural,120,0,Right
S21,P045,Agestural,121,0,Right
S21,P045,Agestural,122,0,Right
S21,P045,Agestural,123,0,Right
S21,P045,Agestural,124,0,Right
S21,P045,Agestural,125,0,Right
S21,P045,Agestural,126,0,Right
S21,P045,Agestural,127,0,Right
S21,P045,Agestural,128,0,Right
S21,P045,Agestural,129,0,Right
S21,P045,Agestural,130,0,Right
S21,P045,Agestural,131,0,Right
S21,P045,Agestural,132,0,Right
S21,P045,Agestural,133,0,Right
S21,P045,Agestural,134,0,Right
S21,P045,Agestural,135,0,Right
S21,P045,Agestural,136,0,Right
S21,P045,Agestural,137,0,Right
S21,P045,Agestural,138,0,Right
S21,P045,Agestural,139,0,Right
S21,P045,Agestural,140,0,Right
S21,P045,Agestural,141,0,Right
S21,P045,Agestural,142,0,Right
S21,P045,Agestural,143,0,Right
S21,P045,Agestural,144,0,Right
S21,P045,Agestural,145,0,Right
S21,P045,Agestural,146,0,Right
S21,P045,Agestural,147,0,Right
S21,P045,Agestural,148,0,Right
S21,P045,Agestural,149,0,Right
S21,P045,Agestural,150,0,Right
S21,P045,Agestural,151,0,Right
S21,P045,Agestural,152,0,Right
S21,P045,Agestural,153,0,Right
S21,P045,Agestural,154,0,Right
S21,P045,Agestural,155,0,Right
S21,P045,Agestural,156,0,Right
S21,P045,Agestural,157,0,Right
S21,P045,Agestural,158,0,Right
S21,P045,Agestural,159,0,Right
S21,P045,Agestural,160,0,Right
S21,P045,Agestural,161,0,Right
S21,P045,Agestural,162,0,Right
S21,P045,Agestural,163,0,Right
S21,P045,Agestural,164,0,Right
S21,P045,Agestural,165,0,Right
S21,P045,Agestural,166,0,Right
S21,P045,Agestural,167,0,Right
S21,P045,Agestural,168,0,Right
S21,P045,Agestural,169,0,Right
S21,P045,Agestural,170,0,Right
S21,P045,Agestural,171,0,Right
S21,P045,Agestural,172,0,Right
S21,P045,Agestural,173,0,Right
S21,P045,Agestural,174,0,Right
S21,P045,Agestural,175,0,Right
S21,P045,Agestural,176,0,Right
S21,P045,Agestural,177,0,Right
S21,P045,Agestural,178,0,Right
S21,P045,Agestural,179,0,Right
S21,P045,Agestural,180,0,Right
S21,P045,Agestural,181,0,Right
S21,P045,Agestural,182,0,Right
S21,P045,Agestural,183,0,Right
S21,P045,Agestural,184,0,Right
S21,P045,Agestural,185,0,Right
S21,P045,Agestural,186,0,Right
S21,P045,Agestural,187,0,Right
S21,P045,Agestural,188,0,Right
S21,P045,Agestural,189,0,Right
S21,P045,Agestural,190,0,Right
S21,P045,Agestural,191,0,Right
S21,P045,Agestural,192,0,Right
S21,P045,Agestural,193,0,Right
S21,P045,Agestural,194,0,Right
S21,P045,Agestural,195,0,Right
S21,P045,Agestural,196,0,Right
S21,P045,Agestural,197,0,Right
S21,P045,Agestural,198,0,Right
S21,P045,Agestural,199,0,Right
S21,P045,Agestural,200,0,Right
S21,P045,Agestural,201,0,Right
S21,P045,Agestural,202,0,Right
S21,P045,Agestural,203,0,Right
S21,P045,Agestural,204,0,Right
S21,P045,Agestural,205,0,Right
S21,P045,Agestural,206,0,Right
S21,P045,Agestural,207,0,Right
S21,P045,Agestural,208,0,Right
S21,P045,Agestural,209,0,Right
S21,P045,Agestural,210,0,Right
S21,P045,Agestural,211,0,Right
S21,P045,Agestural,212,0,Right
S21,P045,Agestural,213,0,Right
S21,P045,Agestural,214,0,Right
S21,P045,Agestural,215,0,Right
S21,P045,Agestural,216,0,Right
S21,P045,Agestural,217,0,Right
S21,P045,Agestural,218,0,Right
S21,P045,Agestural,219,0,Right
S21,P045,Agestural,220,0,Right
S21,P045,Agestural,221,0,Right
S21,P045,Agestural,222,0,Right
S21,P045,Agestural,223,0,Right
S21,P045,Agestural,224,0,Right
S21,P045,Agestural,225,0,Right
S21,P045,Agestural,226,0,Right
S21,P045,Agestural,227,0,Right
S21,P045,Agestural,228,0,Right
S21,P045,Agestural,229,0,Right
S21,P045,Agestural,230,0,Right
S21,P045,Agestural,231,0,Right
S21,P045,Agestural,232,0,Right
S21,P045,Agestural,233,0,Right
S21,P045,Agestural,234,0,Right
S21,P045,Agestural,235,0,Right
S21,P045,Agestural,236,0,Right
S21,P045,Agestural,237,0,Right
S21,P045,Agestural,238,0,Right
S21,P045,Agestural,239,0,Right
S21,P045,Agestural,240,0,Right
S21,P045,Agestural,241,0,Right
S21,P045,Agestural,242,0,Right
S21,P045,Agestural,243,0,Right
S21,P045,Agestural,244,0,Right
S21,P045,Agestural,245,0,Right
S21,P045,Agestural,246,0,Right
S21,P045,Agestural,247,0,Right
S21,P045,Agestural,248,0,Right
S21,P045,Agestural,249,0,Right
S21,P045,Agestural,250,0,Right
S21,P045,Agestural,251,0,Right
S21,P045,Agestural,252,0,Right
S21,P045,Agestural,253,0,Right
S21,P045,Agestural,254,0,Right
S21,P045,Agestural,255,0,Right
S21,P045,Agestural,256,0,Right
S21,P045,Agestural,257,0,Right
S21,P045,Agestural,258,0,Right
S21,P045,Agestural,259,0,Right
S21,P045,Agestural,260,0,Right
S21,P045,Agestural,261,0,Right
S21,P045,Agestural,262,0,Right
S21,P045,Agestural,263,0,Right
S21,P045,Agestural,264,0,Right
S21,P045,Agestural,265,0,Right
S21,P045,Agestural,266,0,Right
S21,P045,Agestural,267,0,Right
S21,P045,Agestural,268,0,Right
S21,P045,Agestural,269,0,Right
S21,P045,Agestural,270,0,Right
S21,P045,Agestural,271,0,Right
S21,P045,Agestural,272,0,Right
S21,P045,Agestural,273,0,Right
S21,P045,Agestural,274,0,Right
S21,P045,Agestural,275,0,Right
S21,P045,Agestural,276,0,Right
S21,P045,Agestural,277,0,Right
S21,P045,Agestural,278,0,Right
S21,P045,Agestural,279,0,Right
S21,P045,Agestural,280,0,Right
S21,P045,Agestural,281,0,Right
S21,P045,Agestural,282,0,Right
S21,P045,Agestural,283,0,Right
S21,P045,Agestural,284,0,Right
S21,P045,Agestural,285,0,Right
S21,P045,Agestural,286,0,Right
S21,P045,Agestural,287,0,Right
S21,P045,Agestural,288,0,Right
S21,P045,Agestural,289,0,Right
S21,P045,Agestural,290,0,Right
S21,P045,Agestural,291,0,Right
S21,P045,Agestural,292,0,Right
S21,P045,Agestural,293,0,Right
S21,P045,Agestural,294,0,Right
S21,P045,Agestural,295,0,Right
S21,P045,Agestural,296,0,Right
S21,P045,Agestural,297,0,Right
S21,P045,Agestural,298,0,Right
S21,P045,Agestural,299,0,Right
S21,P045,Agestural,300,0,Right
S21,P045,Agestural,301,0,Right
S21,P045,Agestural,302,0,Right
S21,P045,Agestural,303,0,Right
S21,P045,Agestural,304,0,Right
S21,P045,Agestural,305,0,Right
S21,P045,Agestural,306,0,Right
S21,P045,Agestural,307,0,Right
S21,P045,Agestural,308,0,Right
S21,P045,Agestural,309,0,Right
S21,P045,Agestural,310,0,Right
S21,P045,Agestural,311,0,Right
S21,P045,Agestural,312,0,Right
S21,P045,Agestural,313,0,Right
S21,P045,Agestural,314,0,Right
S21,P045,Agestural,315,0,Right
S21,P045,Agestural,316,0,Right
S21,P045,Agestural,317,0,Right
S21,P045,Agestural,318,0,Right
S21,P045,Agestural,319,0,Right
S21,P045,Agestural,320,0,Right
S21,P045,Agestural,321,0,Right
S21,P045,Agestural,322,0,Right
S21,P045,Agestural,323,0,Right
S21,P045,Agestural,324,0,Right
S21,P045,Agestural,325,0,Right
S21,P045,Agestural,326,0,Right
S21,P045,Agestural,327,0,Right
S21,P045,Agestural,328,0,Right
S21,P045,Agestural,329,0,Right
S21,P045,Agestural,330,0,Right
S21,P045,Agestural,331,0,Right
S21,P045,Agestural,332,0,Right
S21,P045,Agestural,333,0,Right
S21,P045,Agestural,334,0,Right
S21,P045,Agestural,335,0,Right
S21,P045,Agestural,336,0,Right
S21,P045,Agestural,337,0,Right
S21,P045,Agestural,338,0,Right
S21,P045,Agestural,339,0,Right
S21,P045,Agestural,340,0,Right
S21,P045,Agestural,341,0,Right
S21,P045,Agestural,342,0,Right
S21,P045,Agestural,343,0,Right
S21,P045,Agestural,344,0,Right
S21,P045,Agestural,345,0,Right
S21,P045,Agestural,346,0,Right
S21,P045,Agestural,347,0,Right
S21,P045,Agestural,348,0,Right
S21,P045,Agestural,349,0,Right
S21,P045,Agestural,350,0,Right
S21,P045,Agestural,351,0,Right
S21,P045,Agestural,352,0,Right
S21,P045,Agestural,353,0,Right
S21,P045,Agestural,354,0,Right
S21,P045,Agestural,355,0,Right
S21,P045,Agestural,356,0,Right
S21,P045,Agestural,357,0,Right
S21,P045,Agestural,358,0,Right
S21,P045,Agestural,359,0,Right
S21,P045,Agestural,360,0,Right
S21,P045,Agestural,361,0,Right
S21,P045,Agestural,362,0,Right
S21,P045,Agestural,363,0,Right
S21,P045,Agestural,364,0,Right
S21,P045,Agestural,365,0,Right
S21,P045,Agestural,366,0,Right
S21,P045,Agestural,367,0,Right
S21,P045,Agestural,368,0,Right
S21,P045,Agestural,369,0,Right
S21,P045,Agestural,370,0,Right
S21,P045,Agestural,371,0,Right
S21,P045,Agestural,372,0,Right
S21,P045,Agestural,373,0,Right
S21,P045,Agestural,374,0,Right
S21,P045,Agestural,375,0,Right
S21,P045,Agestural,376,0,Right
S21,P045,Agestural,377,0,Right
S21,P045,Agestural,378,0,Right
S21,P045,Agestural,379,0,Right
S21,P045,Agestural,380,0,Right
S21,P045,Agestural,381,0,Right
S21,P045,Agestural,382,0,Right
S21,P045,Agestural,383,0,Right
S21,P045,Agestural,384,0,Right
S21,P045,Agestural,385,0,Right
S21,P045,Agestural,386,0,Right
S21,P045,Agestural,387,0,Right
S21,P045,Agestural,388,0,Right
S21,P045,Agestural,389,0,Right
S21,P045,Agestural,390,0,Right
S21,P045,Agestural,391,0,Right
S21,P045,Agestural,392,0,Right
S21,P045,Agestural,393,0,Right
S21,P045,Agestural,394,0,Right
S21,P045,Agestural,395,0,Right
S21,P045,Agestural,396,0,Right
S21,P045,Agestural,397,0,Right
S21,P045,Agestural,398,0,Right
