Session,Frame,LeftPlayerME,LeftID,RightPlayerME,RightID,MinMaxLeftME,MinMaxRightME,ZscoreLeftME,ZscoreRightME
S09,1,0,P020,0,P021,0.0,0.0,-0.4082001719859549,-0.4082001719859549
S09,2,3,P020,902,P021,0.00010199224858910722,0.14567183462532302,-0.406939372128104,-0.029119681392137102
S09,3,0,P020,381,P021,0.0,0.06153100775193799,-0.4082001719859549,-0.2480785900388988
S09,4,0,P020,281,P021,0.0,0.04538113695090439,-0.4082001719859549,-0.29010525196725995
S09,5,12,P020,293,P021,0.0004079689943564289,0.04731912144702843,-0.4031569725545515,-0.28506205253585665
S09,6,50,P020,207,P021,0.0016998708098184539,0.03343023255813954,-0.38718684102177425,-0.3212049817942472
S09,7,107,P020,876,P021,0.003637723533011491,0.14147286821705427,-0.3632316437226084,-0.040046613493511005
S09,8,75,P020,212,P021,0.002549806214727681,0.034237726098191215,-0.37668017553968397,-0.3191036486978292
S09,9,73,P020,153,P021,0.0024818113823349424,0.024709302325581398,-0.3775207087782512,-0.34389937923556224
S09,10,46,P020,95,P021,0.0015638811450329774,0.015342377260981912,-0.3888679074989087,-0.36827484315401177
S09,11,45,P020,50,P021,0.0015298837288366084,0.008074935400516797,-0.38928817411819233,-0.38718684102177425
S09,12,75,P020,135,P021,0.002549806214727681,0.02180232558139535,-0.37668017553968397,-0.35146417838266725
S09,13,39,P020,16,P021,0.001325899231658394,0.002583979328165375,-0.391809773833894,-0.40147590607741707
S09,14,44,P020,36,P021,0.0014958863126402393,0.005813953488372093,-0.38970844073747596,-0.3930705736917448
S09,15,73,P020,109,P021,0.0024818113823349424,0.017603359173126616,-0.3775207087782512,-0.36239111048404116
S09,16,13,P020,87,P021,0.000441966410552798,0.014050387596899225,-0.4027367059352679,-0.3716369761082806
S09,17,65,P020,1104,P021,0.00220983205276399,0.17829457364341086,-0.38088284173252007,0.05577417570315246
S09,18,118,P020,512,P021,0.004011695111171551,0.082687338501292,-0.3586087109104887,-0.19302366291274567
S09,19,115,P020,872,P021,0.003909702862582444,0.14082687338501293,-0.3598695107683395,-0.04172767997064545
S09,20,188,P020,832,P021,0.006391514244917386,0.1343669250645995,-0.32919004756063586,-0.05853834474198992
S09,21,128,P020,625,P021,0.004351669273135242,0.10093669250645995,-0.3544060447176526,-0.14553353493369753
S09,22,158,P020,1381,P021,0.005371591759026314,0.2230297157622739,-0.3417980461391442,0.1721880292447129
S09,23,122,P020,387,P021,0.004147684775957027,0.0625,-0.35692764443335423,-0.24555699032319714
S09,24,45,P020,452,P021,0.0015298837288366084,0.07299741602067183,-0.38928817411819233,-0.21823966006976236
S09,25,210,P020,148,P021,0.007139457401237506,0.023901808785529718,-0.3199441819363964,-0.3460007123319803
S09,26,62,P020,40,P021,0.0021078398041748827,0.006459948320413437,-0.38214364159037095,-0.3913895072146104
S09,27,732,P020,244,P021,0.024886108655742162,0.03940568475452196,-0.10056500667035109,-0.3056551168807536
S09,28,1263,P020,10,P021,0.042938736656014144,0.0016149870801033593,0.12259656816924672,-0.4039975057931187
S09,29,865,P020,4,P021,0.02940776500985925,0.0006459948320413437,-0.044669546305630733,-0.4065191055088204
S09,30,1190,P020,410,P021,0.0404569252736792,0.06621447028423773,0.09191710496154307,-0.23589085807967405
S09,31,64,P020,548,P021,0.002175834636567621,0.08850129198966408,-0.3813031083518037,-0.17789406461853563
S09,32,52,P020,1200,P021,0.001767865642211192,0.1937984496124031,-0.38634630778320705,0.09611977115437918
S09,33,115,P020,333,P021,0.003909702862582444,0.053779069767441866,-0.3598695107683395,-0.2682513877645122
S09,34,115,P020,785,P021,0.003909702862582444,0.1267764857881137,-0.3598695107683395,-0.07829087584831967
S09,35,393,P020,643,P021,0.013360984565173047,0.103843669250646,-0.24303539060749546,-0.13796873578659252
S09,36,312,P020,332,P021,0.010607193853267152,0.053617571059431525,-0.277076986769468,-0.26867165438379575
S09,37,926,P020,887,P021,0.031481607397837764,0.14324935400516797,-0.01903328252933042,-0.035423680681391276
S09,38,1811,P020,501,P021,0.0615693207316244,0.0809108527131783,0.35290267553666593,-0.1976465957248654
S09,39,2046,P020,486,P021,0.06955871353777113,0.07848837209302326,0.4516653310683147,-0.20395059501411958
S09,40,4202,P020,707,P021,0.14285714285714285,0.1141795865633075,1.3577601622437816,-0.11107167215244138
S09,41,1633,P020,522,P021,0.0555177806486707,0.08430232558139535,0.2780952173041831,-0.18882099671990954
S09,42,1348,P020,961,P021,0.04582851703270551,0.15520025839793283,0.15831923080835372,-0.00432395085440401
S09,43,798,P020,370,P021,0.027129938124702522,0.05975452196382429,-0.07282740979763272,-0.25270152285101855
S09,44,296,P020,653,P021,0.010063235194125246,0.10545865633074936,-0.28380125267800577,-0.13376606959375642
S09,45,540,P020,524,P021,0.0183586047460393,0.08462532299741603,-0.18125619757280453,-0.1879804634813423
S09,46,115,P020,212,P021,0.003909702862582444,0.034237726098191215,-0.3598695107683395,-0.3191036486978292
S09,47,215,P020,295,P021,0.007309444482219351,0.047642118863049095,-0.3178428488399783,-0.2842215192972894
S09,48,184,P020,102,P021,0.00625552458013191,0.016472868217054265,-0.3308711140377703,-0.36533297681902643
S09,49,95,P020,545,P021,0.003229754538655062,0.08801679586563307,-0.36827484315401177,-0.17915486447638648
S09,50,431,P020,419,P021,0.014652886380635072,0.06766795865633075,-0.22706525907471822,-0.23210845850612155
S09,51,92,P020,273,P021,0.003127762290065955,0.04408914728682171,-0.3695356430118626,-0.29346738492152885
S09,52,264,P020,188,P021,0.008975317875841436,0.030361757105943153,-0.2972497844950814,-0.32919004756063586
S09,53,324,P020,90,P021,0.011015162847623581,0.014534883720930232,-0.27203378733806466,-0.3703761762504298
S09,54,129,P020,196,P021,0.004385666689331611,0.03165374677002584,-0.35398577809836895,-0.32582791460636695
S09,55,484,P020,21,P021,0.016454749439042633,0.003391472868217054,-0.2047911282526868,-0.399374572980999
S09,56,32,P020,88,P021,0.0010879173182838104,0.014211886304909561,-0.39475164016887926,-0.37121670948899704
