Session,Frame,RightPlayerME,RightID,LeftPlayerME,LeftID,MinMaxLeftME,MinMaxRightME,ZscoreLeftME,ZscoreRightME
S07,1,0,P016,0,P017,0.0,0.0,-0.4060427772558202,-0.4060427772558202
S07,2,470,P016,58,P017,0.0031007751937984496,0.029257968127490038,-0.36545083756910296,-0.07710809358759423
S07,3,547,P016,62,P017,0.003314621758887998,0.03405129482071713,-0.36265139345277764,-0.02321879434833167
S07,4,444,P016,36,P017,0.0019246190858059342,0.027639442231075697,-0.38084778020889226,-0.09530448034370885
S07,5,331,P016,14,P017,0.0007484629778134189,0.0206050796812749,-0.39624472284868156,-0.17438877662989935
S07,6,279,P016,0,P017,0.0,0.017368027888446214,-0.4060427772558202,-0.2107815501421286
S07,7,37,P016,10,P017,0.0005346164127238706,0.0023032868525896416,-0.3990441669650069,-0.38014791917981094
S07,8,28,P016,50,P017,0.002673082063619353,0.0017430278884462151,-0.3710497258017536,-0.3864466684415429
S07,9,24,P016,39,P017,0.0020850040096230954,0.00149402390438247,-0.37874819712164826,-0.38924611255786823
S07,10,24,P016,36,P017,0.0019246190858059342,0.00149402390438247,-0.38084778020889226,-0.38924611255786823
S07,11,29,P016,8,P017,0.0004276931301790965,0.0018052788844621513,-0.4004438890231696,-0.3857468074124616
S07,12,63,P016,0,P017,0.0,0.003921812749003984,-0.4060427772558202,-0.3619515324236963
S07,13,32,P016,2,P017,0.00010692328254477412,0.00199203187250996,-0.40464305519765753,-0.3836472243252176
S07,14,12,P016,12,P017,0.0006415396952686447,0.000747011952191235,-0.3976444449068442,-0.3976444449068442
S07,15,8,P016,12,P017,0.0006415396952686447,0.00049800796812749,-0.3976444449068442,-0.4004438890231696
S07,16,0,P016,11,P017,0.0005880780539962577,0.0,-0.39834430593592557,-0.4060427772558202
S07,17,0,P016,2,P017,0.00010692328254477412,0.0,-0.40464305519765753,-0.4060427772558202
S07,18,1,P016,5,P017,0.0002673082063619353,6.225099601593625e-05,-0.4025434721104135,-0.40534291622673885
S07,19,0,P016,41,P017,0.0021919272921678695,0.0,-0.3773484750634856,-0.4060427772558202
S07,20,0,P016,55,P017,0.0029403902699812884,0.0,-0.36755042065634697,-0.4060427772558202
S07,21,1,P016,112,P017,0.005987703822507351,6.225099601593625e-05,-0.327658341998711,-0.40534291622673885
S07,22,0,P016,96,P017,0.005132317562149158,0.0,-0.33885611846401237,-0.4060427772558202
S07,23,17,P016,147,P017,0.007858861267040898,0.0010582669322709163,-0.30316320598086444,-0.39414513976143756
S07,24,0,P016,193,P017,0.010318096765570703,0.0,-0.27096959864312314,-0.4060427772558202
S07,25,0,P016,315,P017,0.016840417000801924,0.0,-0.18558655309520067,-0.4060427772558202
S07,26,0,P016,309,P017,0.016519647153167602,0.0,-0.18978571926968865,-0.4060427772558202
S07,27,0,P016,220,P017,0.011761561079925154,0.0,-0.2520733508579272,-0.4060427772558202
S07,28,0,P016,111,P017,0.005934242181234964,0.0,-0.32835820302779234,-0.4060427772558202
S07,29,0,P016,26,P017,0.0013900026730820636,0.0,-0.3878463904997056,-0.4060427772558202
S07,30,0,P016,9,P017,0.00048115477145148355,0.0,-0.3997440279940882,-0.4060427772558202
S07,31,0,P016,0,P017,0.0,0.0,-0.4060427772558202,-0.4060427772558202
S07,32,0,P016,0,P017,0.0,0.0,-0.4060427772558202,-0.4060427772558202
S07,33,0,P016,1,P017,5.346164127238706e-05,0.0,-0.40534291622673885,-0.4060427772558202
S07,34,0,P016,0,P017,0.0,0.0,-0.4060427772558202,-0.4060427772558202
S07,35,38,P016,0,P017,0.0,0.0023655378486055778,-0.4060427772558202,-0.3794480581507296
S07,36,0,P016,1,P017,5.346164127238706e-05,0.0,-0.40534291622673885,-0.4060427772558202
S07,37,0,P016,4,P017,0.00021384656508954825,0.0,-0.4032433331394949,-0.4060427772558202
S07,38,0,P016,50,P017,0.002673082063619353,0.0,-0.3710497258017536,-0.4060427772558202
S07,39,0,P016,390,P017,0.020850040096230954,0.0,-0.13309697591410077,-0.4060427772558202
S07,40,0,P016,1064,P017,0.056883186313819833,0.0,0.3386093576867169,-0.4060427772558202
S07,41,0,P016,2204,P017,0.11782945736434108,0.0,1.1364509308394353,-0.4060427772558202
S07,42,0,P016,3703,P017,0.19796845763164928,0.0,2.1855426134323515,-0.4060427772558202
S07,43,0,P016,4621,P017,0.24704624431970063,0.0,2.8280150381290143,-0.4060427772558202
S07,44,0,P016,5294,P017,0.2830259288960171,0.0,3.299021510700751,-0.4060427772558202
S07,45,0,P016,5483,P017,0.29313017909649824,0.0,3.431295245197122,-0.4060427772558202
S07,46,0,P016,5203,P017,0.27816091954022987,0.0,3.2353341570543495,-0.4060427772558202
S07,47,0,P016,4493,P017,0.24020315423683508,0.0,2.738432826406604,-0.4060427772558202
S07,48,0,P016,3560,P017,0.19032344292969794,0.0,2.085462486273721,-0.4060427772558202
S07,49,4,P016,3546,P017,0.18957497995188452,0.000249003984063745,2.0756644318665827,-0.4032433331394949
S07,50,0,P016,3678,P017,0.1966319165998396,0.0,2.1680460877053185,-0.4060427772558202
S07,51,15,P016,3719,P017,0.19882384389200747,0.0009337649402390439,2.196740389897653,-0.39554486181960025
S07,52,16,P016,3721,P017,0.19893076717455227,0.00099601593625498,2.1981401119558157,-0.3948450007905189
S07,53,1,P016,3678,P017,0.1966319165998396,6.225099601593625e-05,2.1680460877053185,-0.40534291622673885
S07,54,3,P016,3272,P017,0.17492649024325047,0.00018675298804780876,1.8839025098982976,-0.4039431941685762
S07,55,18,P016,2686,P017,0.14359796845763165,0.0011205179282868525,1.4737839468566372,-0.39344527873235624
S07,56,0,P016,1687,P017,0.09018978882651697,0.0,0.7746227788043866,-0.4060427772558202
S07,57,5,P016,1200,P017,0.06415396952686447,0.00031125498007968127,0.43379045764177804,-0.4025434721104135
S07,58,22,P016,1063,P017,0.056829724672547446,0.0013695219123505977,0.3379094966576356,-0.3906458346160309
S07,59,19,P016,1641,P017,0.08773055332798717,0.0011827689243027889,0.7424291714666453,-0.3927454177032749
S07,60,0,P016,1546,P017,0.0826516974071104,0.0,0.6759423737039189,-0.4060427772558202
S07,61,7,P016,987,P017,0.05276663993584603,0.0004357569721115538,0.28472005844745435,-0.4011437500522509
S07,62,0,P016,402,P017,0.0214915797914996,0.0,-0.12469864356512479,-0.4060427772558202
S07,63,0,P016,402,P017,0.0214915797914996,0.0,-0.12469864356512479,-0.4060427772558202
S07,64,0,P016,1066,P017,0.05699010959636461,0.0,0.3400090797448796,-0.4060427772558202
S07,65,0,P016,1894,P017,0.1012563485699011,0.0,0.9194940118242223,-0.4060427772558202
S07,66,0,P016,2798,P017,0.149585672280139,0.0,1.5521683821137462,-0.4060427772558202
S07,67,44,P016,3313,P017,0.17711841753541835,0.0027390438247011954,1.9125968120906323,-0.3752488919762416
S07,68,9,P016,3588,P017,0.19182036888532478,0.0005602589641434262,2.1050585950879985,-0.3997440279940882
S07,69,0,P016,3436,P017,0.18369419941192194,0.0,1.998679718667636,-0.4060427772558202
S07,70,4,P016,3592,P017,0.19203421545041433,0.000249003984063745,2.107858039204324,-0.4032433331394949
S07,71,0,P016,3369,P017,0.18011226944667202,0.0,1.9517890297191869,-0.4060427772558202
S07,72,0,P016,2661,P017,0.14226142742582198,0.0,1.4562874211296037,-0.4060427772558202
S07,73,0,P016,1920,P017,0.10264635124298316,0.0,0.9376903985803369,-0.4060427772558202
S07,74,0,P016,992,P017,0.053033948142207965,0.0,0.288219363592861,-0.4060427772558202
S07,75,0,P016,440,P017,0.023523122159850307,0.0,-0.09810392446003417,-0.4060427772558202
S07,76,0,P016,527,P017,0.02817428495054798,0.0,-0.0372160149299583,-0.4060427772558202
S07,77,0,P016,575,P017,0.03074044373162256,0.0,-0.0036226855340543767,-0.4060427772558202
S07,78,0,P016,610,P017,0.03261160117615611,0.0,0.02087245048379224,-0.4060427772558202
S07,79,0,P016,508,P017,0.027158513766372627,0.0,-0.05051337448250361,-0.4060427772558202
S07,80,0,P016,317,P017,0.0169473402833467,0.0,-0.184186831037038,-0.4060427772558202
S07,81,0,P016,25,P017,0.0013365410318096765,0.0,-0.3885462515287869,-0.4060427772558202
S07,82,0,P016,197,P017,0.010531943330660251,0.0,-0.2681701545267978,-0.4060427772558202
S07,83,0,P016,452,P017,0.024164661855118952,0.0,-0.08970559211105819,-0.4060427772558202
S07,84,0,P016,459,P017,0.02453889334402566,0.0,-0.08480656490748888,-0.4060427772558202
S07,85,0,P016,427,P017,0.022828120823309275,0.0,-0.1072021178380915,-0.4060427772558202
S07,86,0,P016,316,P017,0.01689387864207431,0.0,-0.18488669206611932,-0.4060427772558202
S07,87,4,P016,198,P017,0.010585404971932638,0.000249003984063745,-0.2674702934977165,-0.4032433331394949
S07,88,0,P016,152,P017,0.008126169473402833,0.0,-0.29966390083545774,-0.4060427772558202
S07,89,0,P016,137,P017,0.007324244854317027,0.0,-0.3101618162716777,-0.4060427772558202
S07,90,0,P016,107,P017,0.005720395616145416,0.0,-0.3311576471441177,-0.4060427772558202
S07,91,0,P016,63,P017,0.003368083400160385,0.0,-0.3619515324236963,-0.4060427772558202
S07,92,0,P016,31,P017,0.001657310879443999,0.0,-0.3843470853542989,-0.4060427772558202
S07,93,0,P016,13,P017,0.0006950013365410318,0.0,-0.3969445838777629,-0.4060427772558202
S07,94,0,P016,21,P017,0.0011226944667201283,0.0,-0.39134569564511223,-0.4060427772558202
S07,95,0,P016,16,P017,0.000855386260358193,0.0,-0.3948450007905189,-0.4060427772558202
S07,96,0,P016,15,P017,0.0008019246190858059,0.0,-0.39554486181960025,-0.4060427772558202
S07,97,0,P016,8,P017,0.0004276931301790965,0.0,-0.4004438890231696,-0.4060427772558202
S07,98,0,P016,0,P017,0.0,0.0,-0.4060427772558202,-0.4060427772558202
S07,99,0,P016,3,P017,0.00016038492381716118,0.0,-0.4039431941685762,-0.4060427772558202
S07,100,0,P016,13,P017,0.0006950013365410318,0.0,-0.3969445838777629,-0.4060427772558202
S07,101,0,P016,32,P017,0.001710772520716386,0.0,-0.3836472243252176,-0.4060427772558202
S07,102,0,P016,3,P017,0.00016038492381716118,0.0,-0.4039431941685762,-0.4060427772558202
S07,103,0,P016,0,P017,0.0,0.0,-0.4060427772558202,-0.4060427772558202
S07,104,0,P016,0,P017,0.0,0.0,-0.4060427772558202,-0.4060427772558202
S07,105,0,P016,0,P017,0.0,0.0,-0.4060427772558202,-0.4060427772558202
S07,106,0,P016,0,P017,0.0,0.0,-0.4060427772558202,-0.4060427772558202
S07,107,0,P016,0,P017,0.0,0.0,-0.4060427772558202,-0.4060427772558202
S07,108,0,P016,0,P017,0.0,0.0,-0.4060427772558202,-0.4060427772558202
