Session,WindowOnset,WindowOffset,Counts
S02,1,8,0
S02,9,9,1
S02,10,10,0
S02,11,11,1
S02,12,23,0
S02,24,24,1
S02,25,72,0
S02,73,73,1
S02,74,131,0
S02,132,132,1
S02,133,149,0
S02,150,150,1
S02,151,153,0
S02,154,154,1
S02,155,180,0
S02,181,181,1
S02,182,187,0
S02,188,188,1
S02,189,219,0
S02,220,220,1
S02,221,230,0
S02,231,231,1
S02,232,233,0
S02,234,234,1
S02,235,245,0
S02,246,246,1
S02,247,256,0
S02,257,257,1
S02,258,270,0
S02,271,271,1
S02,272,275,0
S02,276,276,1
S02,277,278,0
S02,279,279,1
S02,280,281,0
S02,282,282,1
S02,283,288,0
S02,289,289,1
S02,290,295,0
S02,296,296,1
S02,297,305,0
S02,306,306,1
S02,307,307,0
S02,308,309,2
S02,310,330,0
S02,331,331,1
S02,332,344,0
S02,345,345,1
S02,346,353,0
S02,354,354,1
S02,355,365,0
S02,366,366,1
S02,367,383,0
S02,384,384,1
S02,385,397,0
S02,398,398,1
S02,399,435,0
S02,436,436,1
S02,437,438,0
S02,439,439,1
S02,440,453,0
S02,454,454,1
S02,455,468,0
S02,469,469,1
S02,470,473,0
S02,474,475,2
S02,476,476,0
S02,477,477,1
S02,478,481,0
S02,482,482,1
S02,483,484,0
S02,485,485,1
S02,486,487,0
S02,488,488,1
S02,489,492,0
S02,493,493,1
S02,494,498,0
S02,499,499,1
S02,500,511,0
S02,512,512,1
S02,513,513,0
S02,514,515,2
S02,516,516,0
S02,517,518,2
S02,519,519,0
S02,520,521,2
S02,522,585,0
S02,586,586,1
S02,587,591,0
S02,592,592,1
S02,593,595,0
S02,596,597,2
S02,598,628,0
S02,629,629,1
S02,630,656,0
S02,657,657,1
S02,658,659,0
S02,660,660,1
S02,661,668,0
S02,669,669,1
S02,670,671,0
S02,672,672,1
S02,673,700,0
S02,701,701,1
S02,702,706,0
S02,707,707,1
S02,708,710,0
S02,711,711,1
S02,712,712,0
S02,713,713,1
S02,714,720,0
S02,721,721,1
S02,722,727,0
S02,728,728,1
S02,729,731,0
S02,732,732,1
S02,733,736,0
S02,737,737,1
S02,738,738,0
S02,739,739,1
S02,740,759,0
S02,760,761,2
S02,762,762,0
S02,763,763,1
S02,764,795,0
S02,796,797,2
S02,798,809,0
S02,810,811,2
S02,812,812,0
S02,813,813,1
S02,814,814,0
S02,815,815,1
S02,816,817,0
S02,818,818,1
S02,819,819,0
S02,820,824,5
S02,825,828,0
S02,829,829,1
S02,830,832,0
S02,833,833,1
S02,834,835,0
S02,836,836,1
S02,837,840,0
S02,841,842,2
S02,843,856,0
S02,857,857,1
S02,858,865,0
S02,866,866,1
S02,867,871,0
S02,872,872,1
S02,873,877,0
S02,878,880,3
S02,881,881,0
S02,882,882,1
S02,883,898,0
S02,899,899,1
S02,900,920,0
S02,921,921,1
S02,922,929,0
S02,930,930,1
S02,931,938,0
S02,939,940,2
S02,941,941,0
S02,942,942,1
S02,943,956,0
S02,957,957,1
S02,958,959,0
S02,960,960,1
S02,961,969,0
S02,970,970,1
S02,971,977,0
S02,978,980,3
S02,981,992,0
S02,993,993,1
S02,994,1010,0
S02,1011,1011,1
S02,1012,1012,0
S02,1013,1013,1
S02,1014,1035,0
S02,1036,1036,1
S02,1037,1040,0
S02,1041,1041,1
S02,1042,1042,0
S02,1043,1043,1
S02,1044,1045,0
S02,1046,1046,1
S02,1047,1055,0
S02,1056,1057,2
S02,1058,1060,0
S02,1061,1061,1
S02,1062,1064,0
S02,1065,1065,1
S02,1066,1067,0
S02,1068,1068,1
S02,1069,1069,0
S02,1070,1071,2
S02,1072,1072,0
S02,1073,1073,1
S02,1074,1088,0
S02,1089,1089,1
S02,1090,1091,0
S02,1092,1092,1
S02,1093,1103,0
S02,1104,1105,2
S02,1106,1108,0
S02,1109,1109,1
S02,1110,1111,0
S02,1112,1112,1
S02,1113,1127,0
S02,1128,1128,1
S02,1129,1130,0
S02,1131,1131,1
S02,1132,1140,0
S02,1141,1141,1
S02,1142,1143,0
S02,1144,1144,1
S02,1145,1148,0
S02,1149,1149,1
S02,1150,1161,0
S02,1162,1163,2
S02,1164,1165,0
S02,1166,1166,1
S02,1167,1170,0
S02,1171,1172,2
S02,1173,1176,0
S02,1177,1177,1
S02,1178,1220,0
S02,1221,1221,1
S02,1222,1222,0
S02,1223,1224,2
S02,1225,1233,0
S02,1234,1234,1
S02,1235,1237,0
S02,1238,1238,1
S02,1239,1259,0
S02,1260,1260,1
S02,1261,1279,0
S02,1280,1280,1
S02,1281,1282,0
S02,1283,1283,1
S02,1284,1294,0
S02,1295,1295,1
S02,1296,1303,0
S02,1304,1304,1
S02,1305,1307,0
S02,1308,1308,1
S02,1309,1322,0
S02,1323,1323,1
S02,1324,1328,0
S02,1329,1329,1
S02,1330,1341,0
S02,1342,1342,1
S02,1343,1355,0
S02,1356,1358,3
S02,1359,1359,0
S02,1360,1360,1
S02,1361,1362,0
S02,1363,1364,2
S02,1365,1371,0
S02,1372,1372,1
S02,1373,1378,0
S02,1379,1379,1
S02,1380,1383,0
S02,1384,1385,2
S02,1386,1388,0
S02,1389,1389,1
S02,1390,1408,0
S02,1409,1409,1
S02,1410,1411,0
S02,1412,1412,1
S02,1413,1418,0
S02,1419,1419,1
S02,1420,1436,0
S02,1437,1437,1
S02,1438,1439,0
S02,1440,1441,2
S02,1442,1444,0
S02,1445,1445,1
S02,1446,1450,0
S02,1451,1451,1
S02,1452,1452,0
S02,1453,1453,1
S02,1454,1454,0
S02,1455,1455,1
S02,1456,1462,0
S02,1463,1463,1
S02,1464,1464,0
