Session,Frame,RightPlayerME,RightID,LeftPlayerME,LeftID,MinMaxLeftME,MinMaxRightME,ZscoreLeftME,ZscoreRightME
S14,1,19963,P030,1170,P031,0.0535248639004529,0.660720195935659,-0.07148022103932294,7.956411218461522
S14,2,1697,P030,949,P031,0.04341461183036735,0.05616601575428609,-0.16588579801637218,0.15364077021364064
S14,3,2359,P030,1287,P031,0.05887735029049819,0.078076388429205,-0.02150079793382629,0.43643032658833114
S14,4,2985,P030,1139,P031,0.05210668374582551,0.09879526047527637,-0.08472263228949728,0.7038415989305611
S14,5,2792,P030,1332,P031,0.060935998902054075,0.09240749321506586,-0.00227794289325065,0.6213969095343145
S14,6,3259,P030,1562,P031,0.07145798069445079,0.10786390415039386,0.09597220509191372,0.8208874273998439
S14,7,3094,P030,1309,P031,0.0598838007228144,0.10240285960150923,-0.012102957691767087,0.7504036255843999
S14,8,2144,P030,1100,P031,0.05032252161581042,0.07096048189580989,-0.1013824399913295,0.34458779695002534
S14,9,1847,P030,987,P031,0.045153026213458985,0.06113060170781757,-0.14965316487099722,0.2177169536822261
S14,10,2423,P030,864,P031,0.03952605334187291,0.08019461176937843,-0.2021956353152373,0.4637694982015943
S14,11,1974,P030,656,P031,0.030010521981792396,0.06533395114847422,-0.2910479430583425,0.2719681223522951
S14,12,2175,P030,426,P031,0.01948854018939567,0.07198649632620639,-0.3892980910435068,0.3578302082001996
S14,13,2531,P030,148,P031,0.006770666544672675,0.0837691136559211,-0.5080526177386185,0.5099043502989759
S14,14,1358,P030,21,P031,0.0009607026853927444,0.04494605149930496,-0.5623037864086876,0.008828595574637497
S14,15,1065,P030,46,P031,0.002104396358479345,0.035248560270073476,-0.5516244224972566,-0.11633354946733278
S14,16,862,P030,195,P031,0.008920810650075484,0.02852982061296088,-0.48797541358512847,-0.20304998442815175
S14,17,518,P030,468,P031,0.02140994556018116,0.017144370159528695,-0.3713567596723029,-0.34999803184944106
S14,18,814,P030,737,P031,0.033716089482592984,0.02694115310783081,-0.25644680398530634,-0.22355436313809912
S14,19,987,P030,889,P031,0.04066974701495951,0.03266697557423711,-0.1915162714038064,-0.14965316487099722
S14,20,1205,P030,956,P031,0.0437348460588316,0.03988217382670285,-0.16289557612117153,-0.056529111563319676
S14,21,970,P030,1035,P031,0.047348918065785256,0.03210432249950354,-0.12914878616104986,-0.15691513233077023
S14,22,991,P030,1141,P031,0.052198179239672446,0.03279936453299795,-0.0838682831765828,-0.14794446664516828
S14,23,1051,P030,1146,P031,0.05242691797428976,0.03478519891441054,-0.08173241039429663,-0.12231399325773408
S14,24,1019,P030,1094,P031,0.050048035134269635,0.03372608724432383,-0.10394548733007292,-0.13598357906436565
S14,25,1252,P030,1079,P031,0.049361818930417675,0.041437744092142716,-0.11035310567693146,-0.036451907409829565
S14,26,1263,P030,991,P031,0.045336017201152844,0.041801813728735024,-0.14794446664516828,-0.03175298728879996
S14,27,1503,P030,802,P031,0.03668969303261814,0.04974515125438539,-0.22868045781558594,0.07076890626093678
S14,28,2074,P030,1076,P031,0.04922457568964728,0.06864367511749521,-0.11163462934630317,0.3146855779980188
S14,29,2775,P030,1330,P031,0.06084450340820714,0.0918448401403323,-0.0031322920061651227,0.6141349420745414
S14,30,3441,P030,1286,P031,0.05883160254357473,0.11388760177401205,-0.021927972490283526,0.8986331966750608
