Session,Frame,LeftPlayerMotion,RightPlayerMotion,LeftID,RightID,MinMaxLeftME,MinMaxRightME
S22,1,0,46,P046,P047,0.0,0.0029887596647391337
S22,2,0,0,P046,P047,0.0,0.0
S22,3,0,47,P046,P047,0.0,0.0030537327009291146
S22,4,2,99,P046,P047,0.00018914318138831096,0.006432330582808135
S22,5,14,253,P046,P047,0.0013240022697181767,0.016438178156065235
S22,6,13,297,P046,P047,0.0012294306790240211,0.019296991748424405
S22,7,3,243,P046,P047,0.00028371477208246644,0.01578844779416542
S22,8,2,83,P046,P047,0.00018914318138831096,0.005392762003768437
S22,9,6,0,P046,P047,0.0005674295441649329,0.0
S22,10,3,0,P046,P047,0.00028371477208246644,0.0
S22,11,10,0,P046,P047,0.0009457159069415548,0.0
S22,12,33,0,P046,P047,0.0031208624929071308,0.0
S22,13,90,0,P046,P047,0.008511443162473993,0.0
S22,14,242,0,P046,P047,0.022886324947985627,0.0
S22,15,308,0,P046,P047,0.029128049933799888,0.0
S22,16,469,0,P046,P047,0.04435407603555892,0.0
S22,17,633,0,P046,P047,0.059863816909400416,0.0
S22,18,593,0,P046,P047,0.0560809532816342,0.0
S22,19,339,0,P046,P047,0.032059769245318705,0.0
S22,20,122,0,P046,P047,0.011537734064686968,0.0
S22,21,104,0,P046,P047,0.00983544543219217,0.0
S22,22,53,44,P046,P047,0.00501229430679024,0.0028588135923591712
S22,23,64,80,P046,P047,0.006052581804425951,0.005197842895198493
S22,24,28,213,P046,P047,0.0026480045394363535,0.013839256708465988
S22,25,34,426,P046,P047,0.003215434083601286,0.027678513416931977
S22,26,43,780,P046,P047,0.004066578399848686,0.05067896822818531
S22,27,55,1403,P046,P047,0.005201437488178551,0.09115716977454358
S22,28,47,1981,P046,P047,0.004444864762625307,0.1287115846923527
S22,29,22,2167,P046,P047,0.002080574995271421,0.14079656942368918
S22,30,30,2358,P046,P047,0.0028371477208246646,0.1532064193359756
S22,31,24,2190,P046,P047,0.0022697181766597315,0.14229094925605876
S22,32,19,2064,P046,P047,0.0017968602231889542,0.13410434669612112
S22,33,37,1926,P046,P047,0.0034991488556837527,0.12513806770190372
S22,34,36,1437,P046,P047,0.0034045772649895973,0.09336625300500292
S22,35,41,937,P046,P047,0.0038774352184603746,0.06087973491001235
S22,36,23,699,P046,P047,0.002175146585965576,0.04541615229679683
S22,37,23,338,P046,P047,0.002175146585965576,0.021960886232213633
S22,38,32,87,P046,P047,0.0030262909022129754,0.0056526541485283615
S22,39,22,33,P046,P047,0.002080574995271421,0.002144110194269378
S22,40,0,154,P046,P047,0.0,0.0100058475732571
S22,41,0,507,P046,P047,0.0,0.03294132934832045
S22,42,4,1204,P046,P047,0.0003782863627766219,0.07822753557273732
S22,43,13,2062,P046,P047,0.0012294306790240211,0.13397440062374116
S22,44,1,2591,P046,P047,9.457159069415548e-05,0.1683451367682412
S22,45,10,2659,P046,P047,0.0009457159069415548,0.17276330322915992
S22,46,28,2383,P046,P047,0.0026480045394363535,0.15483074524072513
S22,47,55,1890,P046,P047,0.005201437488178551,0.12279903839906439
S22,48,55,1193,P046,P047,0.005201437488178551,0.07751283217464752
S22,49,29,578,P046,P047,0.002742576130130509,0.037554414917809115
S22,50,27,332,P046,P047,0.002553432948742198,0.021571048015073747
S22,51,49,206,P046,P047,0.004634007944013619,0.01338444545513612
S22,52,72,214,P046,P047,0.006809154529979195,0.01390422974465597
S22,53,93,138,P046,P047,0.00879515793455646,0.0089662789942174
S22,54,128,135,P046,P047,0.012105163608851902,0.008771359885647458
S22,55,162,181,P046,P047,0.015320597692453189,0.01176011955038659
S22,56,175,160,P046,P047,0.016550028371477208,0.010395685790396986
S22,57,137,55,P046,P047,0.012956307925099301,0.003573516990448964
S22,58,141,38,P046,P047,0.013334594287875923,0.002468975375219284
S22,59,115,7,P046,P047,0.01087573292982788,0.00045481125332986816
S22,60,75,0,P046,P047,0.007092869302061661,0.0
S22,61,42,0,P046,P047,0.00397200680915453,0.0
S22,62,2,0,P046,P047,0.00018914318138831096,0.0
S22,63,0,0,P046,P047,0.0,0.0
S22,64,0,0,P046,P047,0.0,0.0
S22,65,0,25,P046,P047,0.0,0.001624325904749529
S22,66,26,31,P046,P047,0.0024588613580480423,0.0020141641218894162
S22,67,44,12,P046,P047,0.004161149990542842,0.000779676434279774
S22,68,52,2,P046,P047,0.004917722716096085,0.00012994607237996233
S22,69,106,39,P046,P047,0.01002458861358048,0.0025339484114092654
S22,70,94,116,P046,P047,0.008889729525250615,0.007536872198037815
S22,71,90,135,P046,P047,0.008511443162473993,0.008771359885647458
S22,72,121,135,P046,P047,0.011443162473992814,0.008771359885647458
S22,73,347,158,P046,P047,0.03281634197087195,0.010265739718017024
S22,74,553,69,P046,P047,0.05229808965386798,0.0044831394971087
S22,75,746,15,P046,P047,0.07055040665783999,0.0009745955428497174
S22,76,874,38,P046,P047,0.08265557026669189,0.002468975375219284
S22,77,924,35,P046,P047,0.08738414980139966,0.0022740562666493406
S22,78,922,46,P046,P047,0.08719500662001135,0.0029887596647391337
S22,79,915,4,P046,P047,0.08653300548515226,0.00025989214475992465
S22,80,765,2,P046,P047,0.07234726688102894,0.00012994607237996233
S22,81,565,0,P046,P047,0.053432948742197846,0.0
S22,82,374,0,P046,P047,0.03536977491961415,0.0
S22,83,268,0,P046,P047,0.02534518630603367,0.0
S22,84,194,1,P046,P047,0.018346888594666162,6.497303618998116e-05
S22,85,80,1,P046,P047,0.0075657272555324385,6.497303618998116e-05
S22,86,23,0,P046,P047,0.002175146585965576,0.0
S22,87,21,0,P046,P047,0.001986003404577265,0.0
S22,88,1,44,P046,P047,9.457159069415548e-05,0.0028588135923591712
S22,89,0,180,P046,P047,0.0,0.011695146514196609
S22,90,2,339,P046,P047,0.00018914318138831096,0.022025859268403614
S22,91,26,282,P046,P047,0.0024588613580480423,0.018322396205574687
S22,92,44,116,P046,P047,0.004161149990542842,0.007536872198037815
S22,93,82,116,P046,P047,0.007754870436920749,0.007536872198037815
S22,94,126,89,P046,P047,0.01191602042746359,0.0057826002209083235
S22,95,216,60,P046,P047,0.020427463589937585,0.0038983821713988696
S22,96,302,12,P046,P047,0.028560620389634955,0.000779676434279774
S22,97,269,31,P046,P047,0.025439757896727824,0.0020141641218894162
S22,98,166,80,P046,P047,0.01569888405522981,0.005197842895198493
S22,99,7,88,P046,P047,0.0006620011348590884,0.0057176271847183425
S22,100,0,84,P046,P047,0.0,0.005457735039958418
S22,101,0,46,P046,P047,0.0,0.0029887596647391337
S22,102,0,4,P046,P047,0.0,0.00025989214475992465
S22,103,0,2,P046,P047,0.0,0.00012994607237996233
S22,104,0,21,P046,P047,0.0,0.0013644337599896044
S22,105,0,0,P046,P047,0.0,0.0
S22,106,0,0,P046,P047,0.0,0.0
S22,107,0,0,P046,P047,0.0,0.0
S22,108,0,4,P046,P047,0.0,0.00025989214475992465
S22,109,0,0,P046,P047,0.0,0.0
S22,110,0,0,P046,P047,0.0,0.0
S22,111,0,0,P046,P047,0.0,0.0
S22,112,8,0,P046,P047,0.0007565727255532438,0.0
S22,113,49,0,P046,P047,0.004634007944013619,0.0
S22,114,50,0,P046,P047,0.004728579534707774,0.0
S22,115,83,0,P046,P047,0.007849442027614905,0.0
S22,116,98,0,P046,P047,0.009268015888027238,0.0
S22,117,91,0,P046,P047,0.008606014753168148,0.0
S22,118,73,0,P046,P047,0.0069037261206733504,0.0
S22,119,82,0,P046,P047,0.007754870436920749,0.0
S22,120,49,0,P046,P047,0.004634007944013619,0.0
S22,121,19,0,P046,P047,0.0017968602231889542,0.0
S22,122,12,0,P046,P047,0.0011348590883298658,0.0
S22,123,2,0,P046,P047,0.00018914318138831096,0.0
S22,124,46,0,P046,P047,0.004350293171931152,0.0
S22,125,70,8,P046,P047,0.006620011348590884,0.0005197842895198493
S22,126,84,23,P046,P047,0.00794401361830906,0.0014943798323695668
S22,127,80,0,P046,P047,0.0075657272555324385,0.0
S22,128,101,5,P046,P047,0.009551730660109704,0.0003248651809499058
S22,129,151,10,P046,P047,0.014280310194817477,0.0006497303618998116
S22,130,163,33,P046,P047,0.015415169283147344,0.002144110194269378
S22,131,164,3,P046,P047,0.015509740873841498,0.0001949191085699435
S22,132,133,0,P046,P047,0.01257802156232268,0.0
S22,133,37,0,P046,P047,0.0034991488556837527,0.0
S22,134,9,0,P046,P047,0.0008511443162473993,0.0
S22,135,0,0,P046,P047,0.0,0.0
S22,136,0,0,P046,P047,0.0,0.0
S22,137,0,0,P046,P047,0.0,0.0
S22,138,0,0,P046,P047,0.0,0.0
S22,139,0,0,P046,P047,0.0,0.0
S22,140,0,0,P046,P047,0.0,0.0
S22,141,0,0,P046,P047,0.0,0.0
S22,142,0,0,P046,P047,0.0,0.0
S22,143,9,0,P046,P047,0.0008511443162473993,0.0
S22,144,13,2,P046,P047,0.0012294306790240211,0.00012994607237996233
S22,145,3,0,P046,P047,0.00028371477208246644,0.0
S22,146,0,0,P046,P047,0.0,0.0
S22,147,0,0,P046,P047,0.0,0.0
S22,148,0,0,P046,P047,0.0,0.0
S22,149,0,0,P046,P047,0.0,0.0
S22,150,0,0,P046,P047,0.0,0.0
S22,151,0,0,P046,P047,0.0,0.0
S22,152,0,0,P046,P047,0.0,0.0
S22,153,0,0,P046,P047,0.0,0.0
S22,154,0,17,P046,P047,0.0,0.0011045416152296798
S22,155,59,103,P046,P047,0.0055797238509551735,0.00669222272756806
S22,156,51,134,P046,P047,0.00482315112540193,0.008706386849457477
S22,157,72,60,P046,P047,0.006809154529979195,0.0038983821713988696
S22,158,24,0,P046,P047,0.0022697181766597315,0.0
S22,159,0,7,P046,P047,0.0,0.00045481125332986816
S22,160,0,5,P046,P047,0.0,0.0003248651809499058
S22,161,0,4,P046,P047,0.0,0.00025989214475992465
S22,162,0,0,P046,P047,0.0,0.0
S22,163,0,0,P046,P047,0.0,0.0
S22,164,0,1,P046,P047,0.0,6.497303618998116e-05
S22,165,0,0,P046,P047,0.0,0.0
S22,166,25,0,P046,P047,0.002364289767353887,0.0
S22,167,37,0,P046,P047,0.0034991488556837527,0.0
S22,168,49,0,P046,P047,0.004634007944013619,0.0
S22,169,0,0,P046,P047,0.0,0.0
S22,170,0,0,P046,P047,0.0,0.0
S22,171,0,0,P046,P047,0.0,0.0
S22,172,0,0,P046,P047,0.0,0.0
S22,173,0,0,P046,P047,0.0,0.0
S22,174,0,0,P046,P047,0.0,0.0
S22,175,0,0,P046,P047,0.0,0.0
S22,176,0,4,P046,P047,0.0,0.00025989214475992465
S22,177,0,0,P046,P047,0.0,0.0
S22,178,7,0,P046,P047,0.0006620011348590884,0.0
S22,179,12,0,P046,P047,0.0011348590883298658,0.0
S22,180,0,2,P046,P047,0.0,0.00012994607237996233
S22,181,37,2,P046,P047,0.0034991488556837527,0.00012994607237996233
S22,182,0,0,P046,P047,0.0,0.0
S22,183,0,0,P046,P047,0.0,0.0
S22,184,0,0,P046,P047,0.0,0.0
S22,185,0,11,P046,P047,0.0,0.0007147033980897928
S22,186,0,14,P046,P047,0.0,0.0009096225066597363
S22,187,0,0,P046,P047,0.0,0.0
S22,188,0,0,P046,P047,0.0,0.0
S22,189,0,0,P046,P047,0.0,0.0
S22,190,0,31,P046,P047,0.0,0.0020141641218894162
S22,191,0,18,P046,P047,0.0,0.001169514651419661
S22,192,0,17,P046,P047,0.0,0.0011045416152296798
S22,193,0,0,P046,P047,0.0,0.0
S22,194,0,4,P046,P047,0.0,0.00025989214475992465
S22,195,0,0,P046,P047,0.0,0.0
S22,196,0,26,P046,P047,0.0,0.0016892989409395102
S22,197,1,11,P046,P047,9.457159069415548e-05,0.0007147033980897928
S22,198,6,1,P046,P047,0.0005674295441649329,6.497303618998116e-05
S22,199,0,0,P046,P047,0.0,0.0
S22,200,0,4,P046,P047,0.0,0.00025989214475992465
S22,201,0,4,P046,P047,0.0,0.00025989214475992465
S22,202,0,20,P046,P047,0.0,0.0012994607237996232
S22,203,0,2,P046,P047,0.0,0.00012994607237996233
S22,204,0,0,P046,P047,0.0,0.0
S22,205,0,2,P046,P047,0.0,0.00012994607237996233
S22,206,0,1,P046,P047,0.0,6.497303618998116e-05
S22,207,0,2,P046,P047,0.0,0.00012994607237996233
S22,208,0,2,P046,P047,0.0,0.00012994607237996233
S22,209,0,1,P046,P047,0.0,6.497303618998116e-05
S22,210,0,1,P046,P047,0.0,6.497303618998116e-05
S22,211,0,6,P046,P047,0.0,0.000389838217139887
S22,212,0,2,P046,P047,0.0,0.00012994607237996233
S22,213,0,3,P046,P047,0.0,0.0001949191085699435
S22,214,0,3,P046,P047,0.0,0.0001949191085699435
S22,215,0,0,P046,P047,0.0,0.0
S22,216,0,0,P046,P047,0.0,0.0
S22,217,0,9,P046,P047,0.0,0.0005847573257098305
S22,218,0,0,P046,P047,0.0,0.0
S22,219,0,0,P046,P047,0.0,0.0
S22,220,0,2,P046,P047,0.0,0.00012994607237996233
S22,221,0,0,P046,P047,0.0,0.0
S22,222,0,14,P046,P047,0.0,0.0009096225066597363
S22,223,7,5,P046,P047,0.0006620011348590884,0.0003248651809499058
S22,224,13,0,P046,P047,0.0012294306790240211,0.0
S22,225,0,0,P046,P047,0.0,0.0
S22,226,0,0,P046,P047,0.0,0.0
S22,227,0,0,P046,P047,0.0,0.0
S22,228,0,0,P046,P047,0.0,0.0
S22,229,0,0,P046,P047,0.0,0.0
S22,230,0,0,P046,P047,0.0,0.0
S22,231,0,0,P046,P047,0.0,0.0
S22,232,0,0,P046,P047,0.0,0.0
S22,233,0,0,P046,P047,0.0,0.0
S22,234,0,1,P046,P047,0.0,6.497303618998116e-05
S22,235,0,7,P046,P047,0.0,0.00045481125332986816
S22,236,0,49,P046,P047,0.0,0.003183678773309077
S22,237,0,75,P046,P047,0.0,0.004872977714248587
S22,238,0,23,P046,P047,0.0,0.0014943798323695668
S22,239,0,0,P046,P047,0.0,0.0
S22,240,0,0,P046,P047,0.0,0.0
S22,241,0,0,P046,P047,0.0,0.0
S22,242,0,0,P046,P047,0.0,0.0
S22,243,0,0,P046,P047,0.0,0.0
S22,244,0,0,P046,P047,0.0,0.0
S22,245,0,0,P046,P047,0.0,0.0
S22,246,0,0,P046,P047,0.0,0.0
S22,247,0,0,P046,P047,0.0,0.0
S22,248,0,0,P046,P047,0.0,0.0
S22,249,0,0,P046,P047,0.0,0.0
S22,250,0,0,P046,P047,0.0,0.0
S22,251,0,0,P046,P047,0.0,0.0
S22,252,0,0,P046,P047,0.0,0.0
S22,253,0,0,P046,P047,0.0,0.0
S22,254,0,0,P046,P047,0.0,0.0
S22,255,35,0,P046,P047,0.003310005674295442,0.0
S22,256,7,0,P046,P047,0.0006620011348590884,0.0
S22,257,0,0,P046,P047,0.0,0.0
S22,258,8,8,P046,P047,0.0007565727255532438,0.0005197842895198493
S22,259,1,106,P046,P047,9.457159069415548e-05,0.006887141836138004
S22,260,0,197,P046,P047,0.0,0.01279968812942629
S22,261,0,264,P046,P047,0.0,0.017152881554155026
S22,262,0,352,P046,P047,0.0,0.02287050873887337
S22,263,0,460,P046,P047,0.0,0.029887596647391334
S22,264,0,728,P046,P047,0.0,0.047300370346306284
S22,265,0,1024,P046,P047,0.0,0.06653238905854071
S22,266,0,1360,P046,P047,0.0,0.08836332921837438
S22,267,0,1618,P046,P047,0.0,0.10512637255538952
S22,268,0,1919,P046,P047,0.0,0.12468325644857385
S22,269,0,1965,P046,P047,0.0,0.127672016113313
S22,270,0,2125,P046,P047,0.0,0.13806770190370998
S22,271,0,2244,P046,P047,0.0,0.14579949321031774
S22,272,0,2440,P046,P047,0.0,0.15853420830355403
S22,273,0,2572,P046,P047,0.0,0.16711064908063156
S22,274,0,2434,P046,P047,0.0,0.15814437008641416
S22,275,0,2028,P046,P047,0.0,0.1317653173932818
S22,276,0,1453,P046,P047,0.0,0.09440582158404263
S22,277,0,1417,P046,P047,0.0,0.0920667922812033
S22,278,0,1118,P046,P047,0.0,0.07263985446039894
S22,279,0,1180,P046,P047,0.0,0.07666818270417777
S22,280,0,965,P046,P047,0.0,0.06269897992333183
S22,281,0,1236,P046,P047,0.0,0.08030667273081672
S22,282,0,1040,P046,P047,0.0,0.06757195763758041
S22,283,0,917,P046,P047,0.0,0.05958027418621273
S22,284,0,1154,P046,P047,0.0,0.07497888376323826
S22,285,0,1269,P046,P047,0.0,0.08245078292508609
S22,286,0,1556,P046,P047,0.0,0.1010980443116107
S22,287,0,2254,P046,P047,0.0,0.14644922357221754
S22,288,0,3035,P046,P047,0.0,0.19719316483659283
S22,289,0,3279,P046,P047,0.0,0.21304658566694823
S22,290,0,3601,P046,P047,0.0,0.23396790332012216
S22,291,0,3931,P046,P047,0.0,0.25540900526281596
S22,292,0,4077,P046,P047,0.0,0.2648950685465532
S22,293,0,4267,P046,P047,0.0,0.2772399454226496
S22,294,0,3520,P046,P047,0.0,0.22870508738873369
S22,295,0,2687,P046,P047,0.0,0.17458254824247937
S22,296,0,1989,P046,P047,0.0,0.12923136898187254
S22,297,0,1679,P046,P047,0.0,0.10908972776297837
S22,298,0,2014,P046,P047,0.0,0.13085569488662208
S22,299,27,2543,P046,P047,0.002553432948742198,0.1652264310311221
S22,300,27,2503,P046,P047,0.002553432948742198,0.16262750958352284
S22,301,7,1934,P046,P047,0.0006620011348590884,0.12565785199142357
S22,302,0,1437,P046,P047,0.0,0.09336625300500292
S22,303,27,1428,P046,P047,0.002553432948742198,0.0927814956792931
S22,304,18,1359,P046,P047,0.0017022886324947987,0.0882983561821844
S22,305,0,1601,P046,P047,0.0,0.10402183094015985
S22,306,0,1671,P046,P047,0.0,0.10856994347345852
S22,307,0,1348,P046,P047,0.0,0.0875836527840946
S22,308,0,1179,P046,P047,0.0,0.0766032096679878
S22,309,0,636,P046,P047,0.0,0.04132285101682802
S22,310,0,993,P046,P047,0.0,0.0645182249366513
S22,311,0,989,P046,P047,0.0,0.06425833279189137
S22,312,0,798,P046,P047,0.0,0.05184848287960497
S22,313,0,1209,P046,P047,0.0,0.07855240075368723
S22,314,0,1182,P046,P047,0.0,0.07679812877655774
S22,315,0,1266,P046,P047,0.0,0.08225586381651616
S22,316,0,1361,P046,P047,0.0,0.08842830225456437
S22,317,0,811,P046,P047,0.0,0.05269313235007472
S22,318,0,639,P046,P047,0.0,0.041517770125397965
S22,319,0,751,P046,P047,0.0,0.04879475017867586
S22,320,0,1070,P046,P047,0.0,0.06952114872327984
S22,321,0,1106,P046,P047,0.0,0.07186017802611917
S22,322,9,1203,P046,P047,0.0008511443162473993,0.07816256253654734
S22,323,93,1192,P046,P047,0.00879515793455646,0.07744785913845754
S22,324,119,1003,P046,P047,0.011254019292604502,0.0651679552985511
S22,325,11,1101,P046,P047,0.0010402874976357104,0.07153531284516926
S22,326,0,1058,P046,P047,0.0,0.06874147228900007
S22,327,8,998,P046,P047,0.0007565727255532438,0.0648430901176012
S22,328,75,943,P046,P047,0.007092869302061661,0.061269573127152234
S22,329,72,919,P046,P047,0.006809154529979195,0.05971022025859269
S22,330,1,1081,P046,P047,9.457159069415548e-05,0.07023585212136964
S22,331,0,969,P046,P047,0.0,0.06295887206809175
S22,332,0,754,P046,P047,0.0,0.048989669287245796
S22,333,30,851,P046,P047,0.0028371477208246646,0.05529205379767397
S22,334,9,820,P046,P047,0.0008511443162473993,0.053277889675784555
S22,335,0,732,P046,P047,0.0,0.047560262491066214
S22,336,0,561,P046,P047,0.0,0.036449873302579434
S22,337,0,651,P046,P047,0.0,0.04229744655967774
S22,338,0,909,P046,P047,0.0,0.05906048989669288
S22,339,0,1172,P046,P047,0.0,0.07614839841465793
S22,340,0,1679,P046,P047,0.0,0.10908972776297837
S22,341,0,2196,P046,P047,0.0,0.14268078747319862
S22,342,8,2732,P046,P047,0.0007565727255532438,0.17750633487102854
S22,343,4,2248,P046,P047,0.0003782863627766219,0.14605938535507765
S22,344,0,1316,P046,P047,0.0,0.08550451562601522
S22,345,1,756,P046,P047,9.457159069415548e-05,0.04911961535962576
S22,346,0,648,P046,P047,0.0,0.04210252745110779
S22,347,0,715,P046,P047,0.0,0.046455720875836534
S22,348,0,1202,P046,P047,0.0,0.07809758950035736
S22,349,0,1689,P046,P047,0.0,0.10973945812487819
S22,350,0,1971,P046,P047,0.0,0.12806185433045286
S22,351,0,1900,P046,P047,0.0,0.12344876876096421
S22,352,0,1702,P046,P047,0.0,0.11058410759534794
S22,353,0,1085,P046,P047,0.0,0.07049574426612956
S22,354,0,306,P046,P047,0.0,0.019881749074134238
S22,355,9,87,P046,P047,0.0008511443162473993,0.0056526541485283615
S22,356,4,553,P046,P047,0.0003782863627766219,0.035930089013059587
S22,357,0,679,P046,P047,0.0,0.04411669157299721
S22,358,0,635,P046,P047,0.0,0.04125787798063804
S22,359,0,390,P046,P047,0.0,0.025339484114092654
S22,360,0,104,P046,P047,0.0,0.006757195763758041
S22,361,0,118,P046,P047,0.0,0.007666818270417777
S22,362,0,331,P046,P047,0.0,0.021506074978883766
S22,363,0,370,P046,P047,0.0,0.02404002339029303
