Session,Frame,RightPlayerME,RightID,LeftPlayerME,LeftID,MinMaxLeftME,MinMaxRightME,ZscoreLeftME,ZscoreRightME
S17,1,0,P036,0,P037,0.0,0.0,-0.42825879212563506,-0.42825879212563506
S17,2,162,P036,2446,P037,0.1867318115886709,0.012370189370800245,1.4050807457316394,-0.30683565020704207
S17,3,153,P036,2054,P037,0.1568058630429804,0.01168295662797801,1.1112667233113402,-0.31358138031363053
S17,4,320,P036,1684,P037,0.12855943201771128,0.02443494196701283,0.833942263373813,-0.18841061055804395
S17,5,657,P036,1301,P037,0.09932055882128407,0.05016799022602322,0.5468739710601025,0.06417950565532542
S17,6,962,P036,978,P037,0.07466218795327888,0.07345754428833232,0.3047772127903152,0.29278480371193566
S17,7,1263,P036,714,P037,0.054507977708222,0.09644166157605376,0.10690246299705258,0.5183919994989511
S17,8,1378,P036,695,P037,0.0530574853042217,0.10522296884544899,0.09266147721647686,0.6045874397498041
S17,9,1472,P036,673,P037,0.05137796778380029,0.11240073304825901,0.07617191473370497,0.675042843085284
S17,10,1545,P036,742,P037,0.05664554546148561,0.11797495418448381,0.1278891788842168,0.7297582095053907
S17,11,1642,P036,673,P037,0.05137796778380029,0.12538179596823457,0.07617191473370497,0.8024621895430667
S17,12,1677,P036,528,P037,0.04030842049011375,0.1280543677458766,-0.032509292539109745,0.8286955844020221
S17,13,1756,P036,593,P037,0.04527063134590427,0.1340867440439829,0.016209869341807195,0.8879081042265211
S17,14,1919,P036,1017,P037,0.07763951446675318,0.14653329260843007,0.3340087099188654,1.0100807717125129
S17,15,2346,P036,2118,P037,0.1616917321932972,0.1791386682956628,1.1592363596248585,1.330128188991767
S17,16,2586,P036,2992,P037,0.22841438277731124,0.19746487477092242,1.8143217055313419,1.5100143251674605
S17,17,2853,P036,3673,P037,0.2804030842049011,0.21785277947464876,2.3247486169298717,1.7101376516629194
S17,18,3213,P036,3948,P037,0.30139705321016874,0.2453420891875382,2.53086814796452,1.9799668559264594
S17,19,3459,P036,3602,P037,0.2749828231162684,0.2641264508246793,2.2715323016445623,2.1643501455065453
S17,20,3330,P036,3023,P037,0.23078097564699596,0.25427611484422724,1.8375569981207023,2.06766134731211
S17,21,3268,P036,2703,P037,0.20635162989541186,0.2495418448381185,1.597708816553111,2.021190762133389
S17,22,3084,P036,2645,P037,0.20192381097793724,0.23549175320708615,1.5542363336439853,1.8832780577320243
S17,23,2633,P036,2444,P037,0.18657912817772349,0.20105375687232743,1.403581694596842,1.5452420268352005
S17,24,1931,P036,2278,P037,0.17390640506908925,0.14744960293219303,1.279160450408654,1.0190750785212974
S17,25,1171,P036,2133,P037,0.16283685777540272,0.08941661576053757,1.1704792431358393,0.4494356472982686
S17,26,396,P036,1910,P037,0.14581265745476754,0.030238240684178377,1.0033350416059243,-0.13144666743574107
S17,27,157,P036,1562,P037,0.11924574394991984,0.01198839340256567,0.7425001441511689,-0.3105832780440357
S17,28,193,P036,1347,P037,0.10283227727307429,0.014737324373854612,0.5813521471604437,-0.28360035761768165
S17,29,673,P036,1183,P037,0.09031223757538744,0.05138973732437386,0.4584299541070533,0.07617191473370497
S17,30,1257,P036,1189,P037,0.09077028780822964,0.09598350641417228,0.4629271075114456,0.5138948460945587
S17,31,1742,P036,1043,P037,0.0796243988090694,0.13301771533292608,0.3534963746712322,0.8774147462829389
S17,32,2160,P036,933,P037,0.07122681120696236,0.1649358582773366,0.2710485622573727,1.1907164334556049
S17,33,2549,P036,809,P037,0.06176043972822353,0.19463958460598657,0.1781073918999312,1.4822818791737078
S17,34,3099,P036,706,P037,0.0538972440644324,0.23663714111178988,0.1009062584578628,1.894520941243005
S17,35,3503,P036,761,P037,0.058096037865485915,0.2674862553451436,0.14213016466479253,2.197329270472089
S17,36,3623,P036,858,P037,0.06550118329643484,0.2766493585827734,0.21483414470246856,2.2872723385599354
S17,37,3676,P036,845,P037,0.06450874112527674,0.2806963958460599,0.2050903123262852,2.3269971936320677
S17,38,3714,P036,875,P037,0.06679899228948775,0.28359804520464266,0.22757607934824683,2.3554791651932194
S17,39,3775,P036,723,P037,0.0551950530574853,0.28825595601710446,0.11364819310364108,2.4012002248045414
S17,40,3756,P036,743,P037,0.05672188716695931,0.2868051313378131,0.12863870445161552,2.3869592390239656
S17,41,3766,P036,784,P037,0.05985189709138102,0.28756872327428223,0.15936925271496313,2.394454494697953
S17,42,3651,P036,648,P037,0.049469425146957784,0.278787416004887,0.057433775548736916,2.3082590544471
S17,43,3288,P036,428,P037,0.03267424994274372,0.2510690287110568,-0.10746184927898196,2.036181273481364
S17,44,2995,P036,298,P037,0.022749828231162686,0.2286957849725107,-0.20490017304081584,1.816570282233538
S17,45,3153,P036,171,P037,0.013054431636002749,0.2407605375687233,-0.30008992010045354,1.9349953218825362
S17,46,3214,P036,44,P037,0.0033590350408428124,0.2454184483811851,-0.3952796671600913,1.9807163814938582
S17,47,3174,P036,0,P037,0.0,0.2423640806353085,-0.42825879212563506,1.9507353587979093
S17,48,2919,P036,0,P037,0.0,0.22289248625534516,-0.42825879212563506,1.759606339111235
S17,49,2538,P036,0,P037,0.0,0.1937996334758705,-0.42825879212563506,1.4740370979323218
S17,50,2323,P036,0,P037,0.0,0.17738240684178375,-0.42825879212563506,1.3128891009415966
S17,51,1703,P036,0,P037,0.0,0.1300397067806964,-0.42825879212563506,0.8481832491543888
S17,52,1280,P036,8,P037,0.0006107336437896023,0.09773976786805132,-0.42226258758644525,0.5311339341447293
S17,53,907,P036,185,P037,0.014123215512634553,0.06925778863775199,-0.28959656215687146,0.25156089750500593
S17,54,504,P036,686,P037,0.0523704099549584,0.038485033598045205,0.08591574710988836,-0.050497906156679075
S17,55,288,P036,965,P037,0.07366974578212078,0.021991447770311548,0.29503338041413185,-0.21239542871480308
S17,56,190,P036,146,P037,0.011145888999160242,0.014508246792913867,-0.31882805928542163,-0.28584893431987785
S17,57,293,P036,1176,P037,0.08977784563707153,0.02237324373854612,0.45318327513526224,-0.20864780087780946
S17,58,534,P036,1940,P037,0.14810290861897854,0.04077580940745266,1.025820808627886,-0.028012139134717413
S17,59,756,P036,2029,P037,0.15489732040613788,0.05772755039706781,1.0925285841263723,0.1383825368277989
S17,60,782,P036,1113,P037,0.08496831819222841,0.0597128894318876,0.4059631643891427,0.15787020158016568
S17,61,804,P036,296,P037,0.022597144820215284,0.06139279169211973,-0.2063992241756133,0.17435976406293757
S17,62,677,P036,186,P037,0.014199557218108253,0.051695174098961516,-0.28884703658947275,0.07917001700329986
S17,63,557,P036,476,P037,0.036338651805481334,0.042532070861331706,-0.0714846220438433,-0.010773051084546802
S17,64,501,P036,831,P037,0.06343995724864493,0.03825595601710446,0.19459695438270308,-0.052746482858875246
S17,65,214,P036,747,P037,0.05702725398885411,0.01634086744043983,0.13163680672121042,-0.26786032070230853
S17,66,258,P036,305,P037,0.023284220169478585,0.019700671960904092,-0.1996534940690248,-0.23488119573676472
S17,67,1049,P036,99,P037,0.007557828841896328,0.08010079413561393,-0.35405576095316155,0.3579935280756245
S17,68,1667,P036,31,P037,0.0023665928696847086,0.12729077580940745,-0.40502349953627464,0.8212003287280348
S17,69,2021,P036,37,P037,0.0028246431025269105,0.1543219303604154,-0.4005263461318823,1.0865323795871824
S17,70,2011,P036,1,P037,7.634170547370028e-05,0.15355833842394626,-0.42750926655823634,1.0790371239131953
S17,71,1676,P036,0,P037,0.0,0.12797800855222968,-0.42825879212563506,0.8279460588346232
S17,72,1084,P036,39,P037,0.002977326513474311,0.08277336591325596,-0.3990272949970849,0.3842269229345798
S17,73,567,P036,24,P037,0.0018322009313688067,0.04329566279780086,-0.41027017850806574,-0.0032777954105595803
S17,74,333,P036,54,P037,0.004122452095579815,0.025427611484422727,-0.38778441148610404,-0.17866677818186055
S17,75,264,P036,52,P037,0.003969768684632414,0.020158827122785584,-0.3892834626209015,-0.2303840423323724
S17,76,413,P036,22,P037,0.0016795175204214062,0.03153634697617593,-0.41176922964286317,-0.1187047327899628
S17,77,508,P036,3,P037,0.00022902511642110084,0.03879047037263287,-0.42601021542343886,-0.04749980388708419
S17,78,584,P036,0,P037,0.0,0.04459376908979841,-0.42825879212563506,0.009464139235218697
S17,79,526,P036,0,P037,0.0,0.04016493585827734,-0.42825879212563506,-0.03400834367390719
