Session,WindowOnset,WindowOffset,Counts
S02,1,42,0
S02,43,43,1
S02,44,58,0
S02,59,59,1
S02,60,60,0
S02,61,61,1
S02,62,75,0
S02,76,76,1
S02,77,78,0
S02,79,79,1
S02,80,82,0
S02,83,83,1
S02,84,114,0
S02,115,115,1
S02,116,149,0
S02,150,150,1
S02,151,152,0
S02,153,153,1
S02,154,177,0
S02,178,178,1
S02,179,183,0
S02,184,185,2
S02,186,192,0
S02,193,193,1
S02,194,229,0
S02,230,230,1
S02,231,237,0
S02,238,238,1
S02,239,247,0
S02,248,248,1
S02,249,256,0
S02,257,258,2
S02,259,259,0
S02,260,260,1
S02,261,270,0
S02,271,271,1
S02,272,281,0
S02,282,283,2
S02,284,307,0
S02,308,308,1
S02,309,314,0
S02,315,316,2
S02,317,319,0
S02,320,321,2
S02,322,333,0
S02,334,335,2
S02,336,342,0
S02,343,343,1
S02,344,344,0
S02,345,345,1
S02,346,350,0
S02,351,353,3
S02,354,356,0
S02,357,357,1
S02,358,358,0
S02,359,361,3
S02,362,371,0
S02,372,372,1
S02,373,373,0
S02,374,375,2
S02,376,396,0
S02,397,399,3
S02,400,401,0
S02,402,402,1
S02,403,404,0
S02,405,407,3
S02,408,421,0
S02,422,422,1
S02,423,425,0
S02,426,426,1
S02,427,431,0
S02,432,432,1
S02,433,444,0
S02,445,445,1
S02,446,450,0
S02,451,451,1
S02,452,468,0
S02,469,469,1
S02,470,473,0
S02,474,476,3
S02,477,480,0
S02,481,481,1
S02,482,486,0
S02,487,487,1
S02,488,489,0
S02,490,492,3
S02,493,516,0
S02,517,519,3
S02,520,525,0
S02,526,526,1
S02,527,528,0
S02,529,529,1
S02,530,530,0
S02,531,532,2
S02,533,533,0
S02,534,534,1
S02,535,544,0
S02,545,545,1
S02,546,548,0
S02,549,549,1
S02,550,553,0
S02,554,555,2
S02,556,591,0
S02,592,592,1
S02,593,593,0
S02,594,594,1
S02,595,596,0
S02,597,597,1
S02,598,622,0
S02,623,623,1
S02,624,628,0
S02,629,629,1
S02,630,659,0
S02,660,660,1
S02,661,665,0
S02,666,666,1
S02,667,675,0
S02,676,676,1
S02,677,680,0
S02,681,681,1
S02,682,706,0
S02,707,707,1
S02,708,710,0
S02,711,711,1
S02,712,729,0
S02,730,730,1
S02,731,741,0
S02,742,742,1
S02,743,751,0
S02,752,752,1
S02,753,794,0
S02,795,796,2
S02,797,797,0
S02,798,798,1
S02,799,800,0
S02,801,801,1
S02,802,819,0
S02,820,820,1
S02,821,825,0
S02,826,826,1
S02,827,836,0
S02,837,837,1
S02,838,840,0
S02,841,841,1
S02,842,850,0
S02,851,851,1
S02,852,856,0
S02,857,857,1
S02,858,892,0
S02,893,893,1
S02,894,894,0
S02,895,895,1
S02,896,900,0
S02,901,901,1
S02,902,912,0
S02,913,913,1
S02,914,940,0
S02,941,941,1
S02,942,964,0
S02,965,965,1
S02,966,977,0
S02,978,980,3
S02,981,982,0
S02,983,984,2
S02,985,986,0
S02,987,988,2
S02,989,1011,0
S02,1012,1012,1
