Session,Frame,LeftPlayerME,LeftID,RightPlayerME,RightID,MinMaxLeftME,MinMaxRightME,ZscoreLeftME,ZscoreRightME
S09,1,0,P020,0,P021,0.0,0.13827519379844957,-0.4082001719859549,-0.4082001719859549
S09,2,3,P020,902,P021,0.0001019922485891,0.028795219638242858,-0.406939372128104,-0.0291196813921371
S09,3,0,P020,381,P021,0.0,0.00536175710594315,-0.4082001719859549,-0.2480785900388988
S09,4,0,P020,281,P021,0.0,0.01915374677002583,-0.4082001719859549,-0.2901052519672599
S09,5,12,P020,293,P021,0.0004079689943564,0.00936692506459946,-0.4031569725545515,-0.2850620525358566
S09,6,50,P020,207,P021,0.0016998708098184,0.01656976744186045,-0.3871868410217742,-0.3212049817942472
S09,7,107,P020,876,P021,0.0036377235330114,0.016634366925064592,-0.3632316437226084,-0.040046613493511
S09,8,75,P020,212,P021,0.0025498062147276,0.02860142118863047,-0.3766801755396839,-0.3191036486978292
S09,9,73,P020,153,P021,0.0024818113823349,0.00956072351421187,-0.3775207087782512,-0.3438993792355622
S09,10,46,P020,95,P021,0.0015638811450329,0.0093830749354005,-0.3888679074989087,-0.3682748431540117
S09,11,45,P020,50,P021,0.0015298837288366,0.0138081395348837,-0.3892881741181923,-0.3871868410217742
S09,12,75,P020,135,P021,0.0025498062147276,0.01663436692506459,-0.3766801755396839,-0.3514641783826672
S09,13,39,P020,16,P021,0.0013258992316583,0.03367248062015503,-0.391809773833894,-0.401475906077417
S09,14,44,P020,36,P021,0.0014958863126402,0.0026001291989663803,-0.3897084407374759,-0.3930705736917448
S09,15,73,P020,109,P021,0.0024818113823349,0.00035529715762273,-0.3775207087782512,-0.3623911104840411
S09,16,13,P020,87,P021,0.0004419664105527,0.00663759689922479,-0.4027367059352679,-0.3716369761082806
S09,17,65,P020,1104,P021,0.0022098320527639,0.00599160206718344,-0.38088284173252,0.0557741757031524
S09,18,118,P020,512,P021,0.0040116951111715,0.04903100775193797,-0.3586087109104887,-0.1930236629127456
S09,19,115,P020,872,P021,0.0039097028625824,0.033349483204134354,-0.3598695107683395,-0.0417276799706454
S09,20,188,P020,832,P021,0.0063915142449173,0.02968346253229972,-0.3291900475606358,-0.0585383447419899
S09,21,128,P020,625,P021,0.0043516692731352,0.03672480620155038,-0.3544060447176526,-0.1455335349336975
S09,22,158,P020,1381,P021,0.0053715917590263,0.05130813953488368,-0.3417980461391442,0.1721880292447129
S09,23,122,P020,387,P021,0.004147684775957,0.0830264857881137,-0.3569276444333542,-0.2455569903231971
S09,24,45,P020,452,P021,0.0015298837288366,0.03969638242894054,-0.3892881741181923,-0.2182396600697623
S09,25,210,P020,148,P021,0.0071394574012375,0.026808785529715735,-0.3199441819363964,-0.3460007123319803
S09,26,62,P020,40,P021,0.0021078398041748,0.02354651162790696,-0.3821436415903709,-0.3913895072146104
S09,27,732,P020,244,P021,0.0248861086557421,0.020461886304909527,-0.100565006670351,-0.3056551168807536
S09,28,1263,P020,10,P021,0.0429387366560141,0.01327519379844958,0.1225965681692467,-0.4039975057931187
S09,29,865,P020,4,P021,0.0294077650098592,0.00071059431524547,-0.0446695463056307,-0.4065191055088204
S09,30,1190,P020,410,P021,0.0404569252736792,0.0171673126614987,0.091917104961543,-0.235890858079674
S09,31,64,P020,548,P021,0.0021758346365676,0.028730620155038737,-0.3813031083518037,-0.1778940646185356
S09,32,52,P020,1200,P021,0.0017678656422111,0.02328811369509041,-0.386346307783207,0.0961197711543791
S09,33,115,P020,333,P021,0.0039097028625824,0.0066860465116278895,-0.3598695107683395,-0.2682513877645122
S09,34,115,P020,785,P021,0.0039097028625824,0.04583333333333332,-0.3598695107683395,-0.0782908758483196
S09,35,393,P020,643,P021,0.013360984565173,0.05797803617571058,-0.2430353906074954,-0.1379687357865925
S09,36,312,P020,332,P021,0.0106071938532671,0.04773901808785527,-0.277076986769468,-0.2686716543837957
S09,37,926,P020,887,P021,0.0314816073978377,0.00463501291989663,-0.0190332825293304,-0.0354236806813912
S09,38,1811,P020,501,P021,0.0615693207316244,0.00728359173126612,0.3529026755366659,-0.1976465957248654
S09,39,2046,P020,486,P021,0.0695587135377711,0.027341731266149853,0.4516653310683147,-0.2039505950141195
S09,40,4202,P020,707,P021,0.1428571428571428,0.00528100775193797,1.3577601622437816,-0.1110716721524413
S09,41,1633,P020,522,P021,0.0555177806486707,0.00390826873385011,0.2780952173041831,-0.1888209967199095
S09,42,1348,P020,961,P021,0.0458285170327055,0.01689276485788112,0.1583192308083537,-0.004323950854404
S09,43,798,P020,370,P021,0.0271299381247025,0.00260012919896639,-0.0728274097976327,-0.2527015228510185
S09,44,296,P020,653,P021,0.0100632351941252,0.014179586563307473,-0.2838012526780057,-0.1337660695937564
S09,45,540,P020,524,P021,0.0183586047460393,0.02495155038759688,-0.1812561975728045,-0.1879804634813423
S09,46,115,P020,212,P021,0.0039097028625824,0.035012919896640814,-0.3598695107683395,-0.3191036486978292
S09,47,215,P020,295,P021,0.0073094444822193,0.029958010335917294,-0.3178428488399783,-0.2842215192972894
S09,48,184,P020,102,P021,0.0062555245801319,0.0429425064599483,-0.3308711140377703,-0.3653329768190264
S09,49,95,P020,545,P021,0.003229754538655,0.06196705426356588,-0.3682748431540117,-0.1791548644763864
S09,50,431,P020,419,P021,0.014652886380635,0.025597545219638217,-0.2270652590747182,-0.2321084585061215
S09,51,92,P020,273,P021,0.0031277622900659,0.05893087855297156,-0.3695356430118626,-0.2934673849215288
S09,52,264,P020,188,P021,0.0089753178758414,0.017974806201550363,-0.2972497844950814,-0.3291900475606358
S09,53,324,P020,90,P021,0.0110151628476235,0.09617248062015503,-0.2720337873380646,-0.3703761762504298
S09,54,129,P020,196,P021,0.0043856666893316,0.008284883720930222,-0.3539857780983689,-0.3258279146063669
S09,55,484,P020,21,P021,0.0164547494390426,0.05248708010335914,-0.2047911282526868,-0.399374572980999
S09,56,32,P020,88,P021,0.0010879173182838,0.0025839793281653605,-0.3947516401688792,-0.371216709488997
S09,57,45,P020,92,P021,0.0015298837288366,0.033284883720930206,-0.3892881741181923,-0.3695356430118626
S09,58,14,P020,1,P021,0.0004759638267491,0.027470930232558123,-0.4023164393159842,-0.4077799053666712
S09,59,16,P020,58,P021,0.0005439586591419,0.07193152454780359,-0.401475906077417,-0.3838247080675053
S09,60,0,P020,35,P021,0.0,0.017990956072351398,-0.4082001719859549,-0.3934908403110284
S09,61,14,P020,0,P021,0.0004759638267491,0.01348514211886303,-0.4023164393159842,-0.4082001719859549
S09,62,4,P020,8,P021,0.0001359896647854,0.10775193798449612,-0.4065191055088204,-0.4048380390316859
S09,63,0,P020,6,P021,0.0,0.014114987080103341,-0.4082001719859549,-0.4056785722702531
S09,64,3,P020,0,P021,0.0001019922485891,0.00135658914728681,-0.406939372128104,-0.4082001719859549
S09,65,0,P020,15,P021,0.0,0.06330749354005165,-0.4082001719859549,-0.4018961726967007
S09,66,1,P020,0,P021,3.399741619636908e-05,0.027600129198966372,-0.4077799053666712,-0.4082001719859549
S09,67,0,P020,0,P021,0.0,0.03958333333333332,-0.4082001719859549,-0.4082001719859549
S09,68,0,P020,0,P021,0.0,0.07487080103359171,-0.4082001719859549,-0.4082001719859549
S09,69,2,P020,21,P021,6.799483239273815e-05,0.01487403100775193,-0.4073596387473876,-0.399374572980999
S09,70,2,P020,0,P021,6.799483239273815e-05,0.00103359173126614,-0.4073596387473876,-0.4082001719859549
S09,71,0,P020,2,P021,0.0,0.039793281653746744,-0.4082001719859549,-0.4073596387473876
S09,72,0,P020,0,P021,0.0,0.07952196382428937,-0.4082001719859549,-0.4082001719859549
S09,73,0,P020,0,P021,0.0,0.021043281653746755,-0.4082001719859549,-0.4082001719859549
S09,74,0,P020,0,P021,0.0,0.00142118863049094,-0.4082001719859549,-0.4082001719859549
S09,75,0,P020,20,P021,0.0,0.08921188630490955,-0.4082001719859549,-0.3997948396002826
S09,76,0,P020,0,P021,0.0,0.06023901808785528,-0.4082001719859549,-0.4082001719859549
S09,77,0,P020,0,P021,0.0,0.00361757105943149,-0.4082001719859549,-0.4082001719859549
S09,78,0,P020,22,P021,0.0,0.02671188630490954,-0.4082001719859549,-0.3989543063617154
S09,79,0,P020,7,P021,0.0,0.1383236434108527,-0.4082001719859549,-0.4052583056509696
S09,80,0,P020,0,P021,0.0,0.021753875968992233,-0.4082001719859549,-0.4082001719859549
S09,81,0,P020,0,P021,0.0,0.04725452196382428,-0.4082001719859549,-0.4082001719859549
S09,82,0,P020,0,P021,0.0,0.029392764857881132,-0.4082001719859549,-0.4082001719859549
S09,83,0,P020,0,P021,0.0,0.0221737726098191,-0.4082001719859549,-0.4082001719859549
S09,84,0,P020,0,P021,0.0,0.01025516795865629,-0.4082001719859549,-0.4082001719859549
S09,85,0,P020,0,P021,0.0,0.009641472868217042,-0.4082001719859549,-0.4082001719859549
S09,86,0,P020,0,P021,0.0,0.00024224806201549,-0.4082001719859549,-0.4082001719859549
S09,87,0,P020,0,P021,0.0,0.010594315245478,-0.4082001719859549,-0.4082001719859549
S09,88,0,P020,0,P021,0.0,0.04780361757105941,-0.4082001719859549,-0.4082001719859549
S09,89,0,P020,0,P021,0.0,0.02487080103359171,-0.4082001719859549,-0.4082001719859549
S09,90,0,P020,0,P021,0.0,0.04226421188630488,-0.4082001719859549,-0.4082001719859549
S09,91,0,P020,0,P021,0.0,0.01447028423772608,-0.4082001719859549,-0.4082001719859549
S09,92,0,P020,0,P021,0.0,0.008737080103359149,-0.4082001719859549,-0.4082001719859549
S09,93,0,P020,0,P021,0.0,0.03677325581395348,-0.4082001719859549,-0.4082001719859549
S09,94,0,P020,0,P021,0.0,0.0229974160206718,-0.4082001719859549,-0.4082001719859549
S09,95,1,P020,0,P021,3.399741619636908e-05,0.08265503875968991,-0.4077799053666712,-0.4082001719859549
S09,96,0,P020,0,P021,0.0,0.006734496124030989,-0.4082001719859549,-0.4082001719859549
S09,97,0,P020,0,P021,0.0,0.09333010335917312,-0.4082001719859549,-0.4082001719859549
S09,98,0,P020,0,P021,0.0,0.015923772609819108,-0.4082001719859549,-0.4082001719859549
S09,99,0,P020,0,P021,0.0,0.09646317829457365,-0.4082001719859549,-0.4082001719859549
S09,100,0,P020,0,P021,0.0,0.00788113695090436,-0.4082001719859549,-0.4082001719859549
S09,101,0,P020,0,P021,0.0,0.00547480620155036,-0.4082001719859549,-0.4082001719859549
S09,102,0,P020,0,P021,0.0,0.006992894056847511,-0.4082001719859549,-0.4082001719859549
S09,103,0,P020,0,P021,0.0,0.0072674418604651,-0.4082001719859549,-0.4082001719859549
S09,104,0,P020,0,P021,0.0,0.01818475452196381,-0.4082001719859549,-0.4082001719859549
S09,105,0,P020,0,P021,0.0,0.030313307493540033,-0.4082001719859549,-0.4082001719859549
S09,106,0,P020,0,P021,0.0,0.05029069767441859,-0.4082001719859549,-0.4082001719859549
S09,107,0,P020,0,P021,0.0,0.038420542635658875,-0.4082001719859549,-0.4082001719859549
S09,108,0,P020,0,P021,0.0,0.0056040051679586405,-0.4082001719859549,-0.4082001719859549
S09,109,0,P020,0,P021,0.0,0.0718346253229974,-0.4082001719859549,-0.4082001719859549
S09,110,0,P020,0,P021,0.0,0.07146317829457363,-0.4082001719859549,-0.4082001719859549
S09,111,0,P020,0,P021,0.0,0.02593669250645993,-0.4082001719859549,-0.4082001719859549
